placed,exit,elevation,id,abs_total,category,nr_direction_changes,rotation_1_direction,full_lap_1,stop_1_angle_FACE,rotation_2_direction,full_lap_2,stop_2_angle_FACE,rotation_3_direction,full_lap_3,stop_3_angle_FACE,cw1,cw2,cw3,dance1,dance2,dance3,minimized_rotation,placed_from_left,shorter_direction1,lap,changed_direction,residual1,too_close
260,255,80,#01_20170509,120,both,1,ccw,0,125,cw,0,235,,,,false,true,,-10,110,,false,true,false,false,true,110,false
225,10,80,#02_20170509,535,both,1,ccw,0,195,cw,1,350,,,,false,true,,-20,515,,false,true,false,true,true,155,false
325,10,80,#03_20170509,325,ccw,0,ccw,0,115,,,,,,,false,,,-325,,,false,true,false,false,false,-180,false
145,15,80,#04_20170509,315,both,1,ccw,0,160,cw,0,65,,,,false,true,,-50,265,,false,false,true,false,true,-85,false
210,0,80,#05_20170509,450,both,2,ccw,0,220,cw,0,340,ccw,0,50,false,true,false,-40,120,-290,false,true,false,false,true,-10,false
335,340,80,#06_20170509,335,ccw,0,ccw,0,100,,,,,,,false,,,-335,,,false,true,false,false,false,-180,false
165,65,80,#07_20170509,195,cw,0,cw,0,80,,,,,,,true,,,195,,,false,false,false,false,false,0,false
105,290,80,#08_20170509,105,ccw,0,ccw,0,100,,,,,,,false,,,-105,,,true,false,true,false,false,-180,false
175,75,80,#09_20170529,185,cw,0,cw,0,20,,,,,,,true,,,185,,,false,false,false,false,false,0,false
145,10,80,#10_20170529,145,ccw,0,ccw,0,150,,,,,,,false,,,-145,,,true,false,true,false,false,-180,false
145,75,80,#12_20170529,145,ccw,0,ccw,0,145,,,,,,,false,,,-145,,,true,false,true,false,false,-180,false
160,340,80,#13_20170529,200,cw,0,cw,0,40,,,,,,,true,,,200,,,false,false,false,false,false,0,false
40,200,80,#14_20170529,40,ccw,0,ccw,0,260,,,,,,,false,,,-40,,,true,false,true,false,false,-180,false
180,110,80,#15_20170529,180,cw,0,cw,0,25,,,,,,,true,,,180,,,true,false,false,false,false,0,false
150,300,80,#16_20170529,210,cw,0,cw,0,320,,,,,,,true,,,210,,,false,false,false,false,false,0,false
50,20,80,#17_20170529,50,ccw,0,ccw,0,140,,,,,,,false,,,-50,,,true,false,true,false,false,-180,false
235,30,80,#18_20170529,235,ccw,0,ccw,0,75,,,,,,,false,,,-235,,,false,true,false,false,false,-180,false
110,70,80,#19_20170529,110,ccw,0,ccw,0,20,,,,,,,false,,,-110,,,true,false,true,false,false,-180,false
190,180,80,#20_20170529,190,ccw,0,ccw,0,330,,,,,,,false,,,-190,,,false,true,false,false,false,-180,false
215,295,80,#21_20170616,505,cw,0,cw,1,210,,,,,,,true,,,505,,,false,true,true,true,false,0,false
320,320,80,#22_20170616,400,cw,0,cw,1,60,,,,,,,true,,,400,,,false,true,true,true,false,0,false
215,325,80,#23_20170619,215,ccw,0,ccw,0,115,,,,,,,false,,,-215,,,false,true,false,false,false,-180,false
135,15,80,#24_20170616,225,cw,0,cw,0,185,,,,,,,true,,,225,,,false,false,false,false,false,0,false
225,15,80,#25_20170619,135,cw,0,cw,0,25,,,,,,,true,,,135,,,true,true,true,false,false,0,false
155,340,80,#26_22062017,325,both,1,ccw,0,20,cw,0,285,,,,false,true,,-60,265,,false,false,true,false,true,-85,false
