index;beetle;individual_number;date;video 2 name;run number;placed from;placed from angle theoretical (degrees);start time;placed from angle (degrees);rotation 1 direction;rotation 1 full lap? (degrees);angle before direction change 1 (degrees);rotation 2 direction;rotation 2 full lap? (degrees);angle before direction change 2 (degrees);rotation 3 direction;rotation 3 full lap? (degrees);end time;go down angle (degrees);rotation category manual;rotation category measured;exit angle (degrees);comment;smallest possible angle (degrees);smallest possible direction;smallest possible rotation large;smallest absolute angle (degrees);end angle for rotation 1 (degrees);end angle for rotation 2 (degrees);degrees rotation 1;degrees rotation 2;degrees rotation 3;total absolute degrees of rotation
104;11;11;20221119;FirstVsSubsequent_20221119_cam2_07;2;ccw;245,00;00:13:40;240;cw;;;;;;;;00:13:42;40;cw;cw;5;;160;cw;0;160;40;40;160;0;0;160
105;11;11;20221119;FirstVsSubsequent_20221119_cam2_07;3;cw;65,00;00:14:03;90;ccw;;;;;;;;00:14:04;20;ccw;ccw;25;;-70;ccw;0;70;20;20;-70;0;0;70
106;11;11;20221119;FirstVsSubsequent_20221119_cam2_07;4;ccw;245,00;00:14:23;275;cw;;;;;;;;00:14:24;45;cw;cw;45;;130;cw;0;130;45;45;130;0;0;130
107;11;11;20221119;FirstVsSubsequent_20221119_cam2_07;5;cw;65,00;00:14:44;75;ccw;;;;;;;;00:14:44;10;ccw;ccw;25;;-65;ccw;0;65;10;10;-65;0;0;65
108;11;11;20221119;FirstVsSubsequent_20221119_cam2_07;6;ccw;245,00;00:15:04;250;cw;;;;;;;;00:15:05;15;cw;cw;35;;125;cw;0;125;15;15;125;0;0;125
109;11;11;20221119;FirstVsSubsequent_20221119_cam2_07;7;cw;65,00;00:15:23;85;ccw;;;;;;;;00:15:24;345;ccw;ccw;25;;-100;ccw;0;100;345;345;-100;0;0;100
110;11;11;20221119;FirstVsSubsequent_20221119_cam2_07;8;ccw;245,00;00:15:39;200;ccw;;;;;;;;00:15:40;30;ccw;ccw;20;;-170;ccw;1;170;30;30;-170;0;0;170
111;11;11;20221119;FirstVsSubsequent_20221119_cam2_07;9;cw;65,00;00:15:58;80;cw;;;;;;;;00:16:00;355;cw;cw;15;;-85;ccw;0;85;355;355;275;0;0;275
112;11;11;20221119;FirstVsSubsequent_20221119_cam2_07;10;ccw;245,00;00:16:23;180;ccw;;;;;;;;00:16:24;45;ccw;ccw;15;;-135;ccw;0;135;45;45;-135;0;0;135
113;12;12;20221119;FirstVsSubsequent_20221119_cam2_08;1;ccw;260,00;00:10:42;230;cw;;;;;;;;00:10:47;5;cw;cw;10;;135;cw;0;135;5;5;135;0;0;135
114;12;12;20221119;FirstVsSubsequent_20221119_cam2_08;2;cw;80,00;00:11:08;95;ccw;;;;;;;;00:11;325;ccw;ccw;350;;-130;ccw;0;130;325;325;-130;0;0;130
115;12;12;20221119;FirstVsSubsequent_20221119_cam2_08;3;ccw;260,00;00:11:31;240;cw;;;;;;;;00:11:37;10;cw;cw;355;;130;cw;0;130;10;10;130;0;0;130
116;12;12;20221119;FirstVsSubsequent_20221119_cam2_08;4;cw;80,00;00:11:55;90;cw;;;;;;;;00:11:59;355;cw;cw;0;;-95;ccw;0;95;355;355;265;0;0;265
117;12;12;20221119;FirstVsSubsequent_20221119_cam2_08;5;ccw;260,00;00:12:17;255;ccw;;;;;;;;00:12:20;335;ccw;ccw;350;;80;cw;0;80;335;335;-280;0;0;280
118;12;12;20221119;FirstVsSubsequent_20221119_cam2_08;6;cw;80,00;00:12:44;85;cw;;;;;;;;00:12:48;285;cw;cw;320;;-160;ccw;0;160;285;285;200;0;0;200
119;12;12;20221119;FirstVsSubsequent_20221119_cam2_08;7;ccw;260,00;00:13:05;255;ccw;;;;;;;;00:13:07;5;ccw;ccw;345;;110;cw;0;110;5;5;-250;0;0;250
120;12;12;20221119;FirstVsSubsequent_20221119_cam2_08;8;cw;80,00;00:13:23;90;ccw;;;;;;;;00:13:26;325;ccw;ccw;5;;-125;ccw;0;125;325;325;-125;0;0;125
121;12;12;20221119;FirstVsSubsequent_20221119_cam2_08;9;ccw;260,00;00:13:41;235;cw;;;;;;;;00:13:43;350;cw;cw;15;;115;cw;0;115;350;350;115;0;0;115
122;12;12;20221119;FirstVsSubsequent_20221119_cam2_08;10;cw;80,00;00:14:00;110;cw;;;;;;;;00:14:03;300;cw;cw;350;;-170;ccw;1;170;300;300;190;0;0;190
123;13;13;20221119;FirstVsSubsequent_20221119_cam2_09;1;cw;355,00;00:03:17;45;cw;;90;ccw;;;;;00:03:19;275;both;both;305;;-130;ccw;0;130;90;275;45;-175;0;220
124;13;13;20221119;FirstVsSubsequent_20221119_cam2_09;2;ccw;175,00;00:03:40;150;ccw;;;;;;;;00:03:42;330;ccw;ccw;330;;180;cw;1;180;330;330;-180;0;0;180
125;13;13;20221119;FirstVsSubsequent_20221119_cam2_09;3;cw;355,00;00:04:11;350;cw;;;;;;;;00:04:12;15;no;cw;335;;25;cw;0;25;15;15;25;0;0;25
126;13;13;20221119;FirstVsSubsequent_20221119_cam2_09;4;ccw;175,00;00:04:31;175;ccw;;;;;;;;00:04:33;325;ccw;ccw;345;;150;cw;0;150;325;325;-210;0;0;210
127;13;13;20221119;FirstVsSubsequent_20221119_cam2_09;5;cw;355,00;00:04:48;30;ccw;;;;;;;;00:04:49;300;ccw;ccw;315;;-90;ccw;0;90;300;300;-90;0;0;90
